web-scraper-order,web-scraper-start-url,link,link-href,name,type,standard,price,image-src
"1698055606-1","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/282949-obudowa-do-komputera-fractal-design-node-804.html","Fractal Design Node 804","Cube Case","microATX,","629,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_13_11_15_37_0.jpg"
"1698055613-2","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/314512-obudowa-do-komputera-be-quiet-dark-base-900-srebrna.html","be quiet! Dark Base 900 srebrna","Big Tower","ATX,","1 179,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_11_10_47_36_359.jpg"
"1698055619-3","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/314515-obudowa-do-komputera-be-quiet-dark-base-900-pomaranczowa.html","be quiet! Dark Base 900 pomarańczowa","Big Tower","ATX,","1 099,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_26_8_24_3_782_00.jpg"
"1698055627-4","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/333270-obudowa-do-komputera-fractal-design-define-mini-c.html","Fractal Design Define Mini C","Mini Tower","microATX,","509,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_25_13_30_55_768_00.jpg"
"1698055633-5","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/333275-obudowa-do-komputera-fractal-design-define-c.html","Fractal Design Define C","Middle Tower","ATX,","499,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_25_12_44_53_677_00.jpg"
"1698055639-6","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/406178-obudowa-do-komputera-raijintek-thetis-srebrny.html","Raijintek Thetis (srebrny)","Mini Tower","ATX,","449,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_26_13_31_51_734_00.jpg"
"1698055644-7","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/408391-obudowa-do-komputera-lian-li-pc-o12wx.html","Lian Li PC-O12WX","Middle Tower","ATX,","1 299,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_26_11_29_3_85_00.jpg"
"1698055649-8","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/438325-obudowa-do-komputera-ibox-vesta-s30.html","iBOX VESTA S30","Middle Tower","ATX,","159,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_26_12_59_1_644_00.jpg"
"1698055656-9","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/455780-obudowa-do-komputera-corsair-crystal-series-280x-rgb-biala.html","Corsair Crystal Series 280X RGB biała","Mini Tower","microATX","819,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/10/pr_2018_10_11_9_4_33_870_08.jpg"
"1698055663-10","https://www.x-kom.pl/g-5/c/389-obudowy-do-komputera.html?hide_unavailable=1","","https://www.x-kom.pl/p/492879-obudowa-do-komputera-fractal-design-meshify-c.html","Fractal Design Meshify C","Middle Tower","ATX,","549,00 zł","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_25_12_51_3_116_00.jpg"
