web-scraper-order,web-scraper-start-url,link,link-href,name,price,diagonal,resolution,matrix,image-src
"1698054089-1","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/172839-monitor-led-22-aoc-e2270swn.html","AOC E2270SWN","409,00 zł","21,5""","1920 x 1080","LED, TN","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/6/pr_2017_6_23_9_44_34_440.jpg"
"1698054094-2","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/219161-monitor-led-21-i-mniejszy-dell-e1715s.html","Dell E1715S","469,00 zł","17""","1280 x 1024","LED, TN","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_8_6_47_38_442_00.jpg"
"1698054099-3","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/275536-monitor-led-24-aoc-m2470swh.html","AOC M2470SWH","489,00 zł","23,6""","1920 x 1080","LED, MVA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_9_51_26_465_00.jpg"
"1698054106-4","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/350552-monitor-led-24-eizo-flexscan-ev2456-wt.html","Eizo FlexScan EV2456-WT","1 799,00 zł","24,1""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_13_50_19_924_00.jpg"
"1698054118-5","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/350554-monitor-led-24-eizo-flexscan-ev2456-bk.html","Eizo FlexScan EV2456-BK","1 799,00 zł","24,1""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_13_38_46_221_00.jpg"
"1698054126-6","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/372364-monitor-led-24-philips-243s7ehmb-00.html","Philips 243S7EHMB/00","579,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_5_8_1_55_378.jpg"
"1698054133-7","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/400780-monitor-led-27-asus-proart-pa27ac-hdr.html","ASUS ProArt PA27AC HDR","2 949,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_28_13_11_58_284_00.jpg"
"1698054143-8","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/429627-monitor-led-22-aoc-22v2q.html","AOC 22V2Q","799,00 zł","21,5""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_10_16_26_417_00.jpg"
"1698054149-9","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/429639-monitor-led-22-aoc-22e1q.html","AOC 22E1Q","489,00 zł","21,5""","1920 x 1080","LED, MVA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_10_0_51_382_00.jpg"
"1698054155-10","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/429643-monitor-led-24-aoc-x24p1.html","AOC X24P1","1 119,00 zł","24""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_5_12_58_38_563_00.jpg"
"1698054161-11","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/429650-monitor-led-24-aoc-24p1.html","AOC 24P1","799,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/6/pr_2018_6_17_12_43_36_571_03.jpg"
"1698054169-12","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/448734-monitor-led-21-i-mniejszy-asus-mb16ap-przenosny.html","ASUS MB16AP przenośny","1 199,00 zł","15,6""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_25_15_15_9_652_00.jpg"
"1698054175-13","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/449171-monitor-led-32-i-wiekszy-eizo-coloredge-cg319x-bk-4k.html","Eizo ColorEdge CG319X-BK 4K","21 899,00 zł","31,1""","4096 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/11/pr_2022_11_29_14_15_29_102_00.jpg"
