web-scraper-order,web-scraper-start-url,link,link-href,name,cena,chipset,memoery,memorytype,image-src
"1698053662-1","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/370863-karta-graficzna-nvidia-asus-geforce-gt-1030-phoenix-oc-2gb-gddr5.html","ASUS GeForce GT 1030 Phoenix OC 2GB GDDR5","519,00 zł","GeForce GT 1030","2 GB","GDDR5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/6/pr_2017_6_22_8_13_14_942.png"
"1698053669-2","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/597359-karta-graficzna-nvidia-pny-quadro-p1000-dvi-4gb-gddr5.html","PNY Quadro P1000 DVI 4GB GDDR5","1 899,00 zł","Quadro P1000","4 GB","GDDR5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/10/pr_2020_10_8_12_28_55_527_03.jpg"
"1698053673-3","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/623612-karta-graficzna-nvidia-pny-quadro-p400-v2-2gb-gddr5.html","PNY Quadro P400 V2 2GB GDDR5","679,00 zł","Quadro P400","2 GB","GDDR5","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_19_13_13_17_554_02.jpg"
"1698053678-4","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/623625-karta-graficzna-nvidia-pny-quadro-rtx-5000-16gb-gddr6.html","PNY Quadro RTX 5000 16GB GDDR6","10 699,00 zł","Quadro RTX 5000","16 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_19_14_40_45_109_00.jpg"
"1698053685-5","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/633459-karta-graficzna-nvidia-palit-geforce-rtx-3060-dual-oc-12gb-gddr6.html","Palit GeForce RTX 3060 Dual OC 12GB GDDR6","1 799,00 zł","GeForce RTX 3060","12 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_23_13_41_37_415_02.jpg"
"1698053691-6","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/658547-karta-graficzna-nvidia-palit-geforce-rtx-3070-ti-gaming-pro-8gb-gddr6x.html","Palit GeForce RTX 3070 Ti Gaming Pro 8GB GDDR6X","3 199,00 zł","GeForce RTX 3070 Ti","8 GB","GDDR6X","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_9_13_41_1_403_03.jpg"
"1698053696-7","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/661718-karta-graficzna-amd-amd-radeon-pro-w6800-32gb-gddr6.html","AMD Radeon PRO W6800 32GB GDDR6","6 199,00 zł","Radeon™ Pro W6800","32 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_19_14_5_48_91_03.jpg"
"1698053701-8","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/670403-karta-graficzna-nvidia-pny-quadro-t1000-4gb-gddr6.html","PNY Quadro T1000 4GB GDDR6","1 999,00 zł","Quadro T1000","4 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_26_14_2_49_841_03.jpg"
"1698053708-9","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/671956-karta-graficzna-nvidia-asus-geforce-rtx-3060-phoenix-v2-lhr-12gb-gddr6.html","ASUS GeForce RTX 3060 Phoenix V2 LHR 12GB GDDR6","1 899,00 zł","GeForce RTX 3060","12 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_3_9_35_32_870_06.jpg"
"1698053712-10","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/712858-karta-graficzna-nvidia-pny-quadro-rtx-a4000-16gb-gddr6-smallbox.html","PNY Quadro RTX A4000 16GB GDDR6 Smallbox","5 290,00 zł","Quadro RTX 4000","16 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_31_10_34_54_32_01.jpg"
"1698053718-11","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/715089-karta-graficzna-amd-asrock-radeon-rx-6500-xt-phantom-gaming-d-oc-4gb-gddr6.html","ASRock Radeon RX 6500 XT Phantom Gaming D OC 4GB GDDR6","849,00 zł","Radeon™ RX 6500 XT","4 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_19_15_26_3_437_04.jpg"
"1698053724-12","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/742126-karta-graficzna-amd-xfx-radeon-rx-6800-xt-speedster-merc-319-16gb-gddr6.html","XFX Radeon RX 6800 XT Speedster MERC 319 16GB GDDR6","2 799,00 zł","Radeon™ RX 6800 XT","16 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_22_10_52_10_786_06.jpg"
"1698053730-13","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/742555-karta-graficzna-amd-asrock-radeon-rx-6400-challenger-itx-4gb-gddr6.html","ASRock Radeon RX 6400 Challenger ITX 4GB GDDR6","759,00 zł","Radeon™ RX 6400","4 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/5/pr_2022_5_11_11_37_30_655_00.png"
"1698053736-14","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/744262-karta-graficzna-nvidia-pny-quadro-a5000-24gb-gddr6.html","PNY Quadro A5000 24GB GDDR6","13 799,00 zł","Quadro RTX A5000","24 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_29_9_27_4_888_00.jpg"
"1698053746-15","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1053241-karta-graficzna-amd-powercolor-radeon-rx-6700-xt-fighter-12gb-gddr6.html","PowerColor Radeon RX 6700 XT Fighter 12GB GDDR6","2 199,00 zł","Radeon™ RX 6700 XT","12 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/6/pr_2022_6_30_14_36_33_620_04.jpg"
"1698053754-16","https://www.x-kom.pl/g-5/c/345-karty-graficzne.html?hide_unavailable=1","","https://www.x-kom.pl/p/1070736-karta-graficzna-nvidia-pny-quadro-a4500-20gb-gddr6.html","PNY Quadro A4500 20GB GDDR6","7 399,00 zł","Quadro RTX A4500","20 GB","GDDR6","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_22_12_35_26_185_04.jpg"
