web-scraper-order,web-scraper-start-url,Link,Link-href,name,price,capacity,type,frequency,latency,image-src
"1698053717-1","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/77934-pamiec-ram-ddr3-corsair-16gb-2x8gb-1600mhz-cl10-vengeance-xmp-black.html","Corsair 16GB (2x8GB) 1600MHz CL10 Vengeance XMP Black","429,00 zł","16 GB","DDR3","1600 MHz","CL 10","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,pr_2015_7_10_10_28_47_483.jpg"
"1698053722-2","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/117771-pamiec-ram-ddr3-corsair-8gb-1x8gb-1600mhz-cl11.html","Corsair 8GB (1x8GB) 1600MHz CL11","189,00 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_10_41_23_732.jpg"
"1698053727-3","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/211310-pamiec-ram-ddr3-goodram-4gb-1x4gb-1333mhz-cl9.html","GOODRAM 4GB (1x4GB) 1333MHz CL9","66,99 zł","4 GB","DDR3","1333 MHz","CL 9","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_16_11_21_32_533_00.jpg"
"1698053732-4","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/215777-pamiec-ram-ddr3-gskill-8gb-2x4gb-2133mhz-cl9-ripjawsx.html","G.SKILL 8GB (2x4GB) 2133MHz CL9 RipjawsX","199,00 zł","8 GB","DDR3","2133 MHz","CL 9","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_13_27_16_965.jpg"
"1698053741-5","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/312567-pamiec-ram-ddr4-gskill-16gb-2x8gb-3000mhz-cl15-ripjaws-v-black.html","G.SKILL 16GB (2x8GB) 3000MHz CL15 Ripjaws V Black","499,00 zł","16 GB","DDR4","3000 MHz","CL 15","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_23_31_969.jpg"
"1698053752-6","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/335079-pamiec-ram-ddr4-corsair-8gb-1x8gb-2400mhz-cl16-vengeance-lpx-red.html","Corsair 8GB (1x8GB) 2400MHz CL16 Vengeance LPX Red","189,00 zł","8 GB","DDR4","2400 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_21_12_56_32_338.jpg"
"1698053758-7","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/395835-pamiec-ram-ddr4-goodram-4gb-1x4gb-2400mhz-cl17.html","GOODRAM 4GB (1x4GB) 2400MHz CL17","88,99 zł","4 GB","DDR4","2400 MHz","CL 17","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_6_9_45_24_986_01.jpg"
"1698053765-8","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/427830-pamiec-ram-ddr4-gskill-16gb-2x8gb-2666mhz-cl18-trident-z-rgb.html","G.SKILL 16GB (2x8GB) 2666MHz CL18 Trident Z RGB","369,00 zł","16 GB","DDR4","2666 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_10_11_472.jpg"
"1698053771-9","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/442596-pamiec-ram-ddr4-kingston-4gb-1x4gb-2666mhz-cl19.html","Kingston 4GB (1x4GB) 2666MHz CL19","89,00 zł","4 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/8/pr_2018_8_24_9_19_40_467_00.jpg"
"1698053777-10","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/460846-pamiec-ram-ddr4-patriot-8gb-1x8gb-2666mhz-cl19-signature.html","Patriot 8GB  (1x8GB) 2666MHz CL19 Signature","98,99 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/11/pr_2018_11_8_9_12_53_706_00.jpg"
