web-scraper-order,web-scraper-start-url,Paginacja,Plyta,Plyta-href,Nazwa,Price,Handler,Format,Socket,Chipset,Image-src
"1697885040-1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1070713-plyta-glowna-socket-1700-gigabyte-z790-gaming-x.html","Gigabyte Z790 GAMING X","1 199,00 zł","Intel Core i9,","ATX","Socket 1700","Intel Z790","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_30_9_22_42_427_04.jpg"
"1697885043-2","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1072699-plyta-glowna-socket-am5-asus-tuf-gaming-x670e-plus.html","ASUS TUF GAMING X670E-PLUS","1 449,00 zł","AMD Ryzen™","ATX","Socket AM5","AMD X670","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_27_8_28_22_974_04.jpg"
"1697885046-3","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1075908-plyta-glowna-socket-1700-asus-prime-z790-p-wifi.html","ASUS PRIME Z790-P WIFI","1 249,00 zł","Intel Core i9,","ATX","Socket 1700","Intel Z790","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/10/pr_2022_10_18_11_27_39_429_04.jpg"
"1697885050-4","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1115615-plyta-glowna-socket-am4-gigabyte-b550m-ds3h-ac.html","Gigabyte B550M DS3H AC","539,00 zł","AMD Ryzen™","mATX","Socket AM4","AMD B550","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_8_13_42_30_959_04.jpg"
"1697885053-5","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1072733-plyta-glowna-socket-am5-msi-mag-b650-tomahawk-wifi.html","MSI MAG B650 TOMAHAWK WIFI","1 149,00 zł","AMD Ryzen™","ATX","Socket AM5","AMD B650","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/9/pr_2022_9_19_14_15_30_631_05.jpg"
"1697885056-6","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1062400-plyta-glowna-socket-am5-asrock-x670e-steel-legend.html","ASRock X670E Steel Legend","1 499,00 zł","AMD Ryzen™","ATX","Socket AM5","AMD X670","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_24_12_24_45_291_01.jpg"
"1697885059-7","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1075906-plyta-glowna-socket-1700-asus-prime-z790-a-wifi.html","ASUS PRIME Z790-A WIFI","1 349,00 zł","Intel Core i9,","ATX","Socket 1700","Intel Z790","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/10/pr_2022_10_18_13_3_0_370_05.jpg"
"1697885062-8","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/609275-plyta-glowna-socket-am4-gigabyte-a520m-ds3h.html","Gigabyte A520M DS3H","335,00 zł","AMD Ryzen™","mATX","Socket AM4","AMD A520","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/11/pr_2020_11_26_14_0_20_906_00.jpg"
"1697885065-9","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/691389-plyta-glowna-socket-1700-asus-tuf-gaming-z690-plus-ddr4.html","ASUS TUF GAMING Z690-PLUS DDR4","1 159,00 zł","Intel Core i9,","ATX","Socket 1700","Intel Z690","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_27_19_50_1_505_00.jpg"
"1697885068-10","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?hide_unavailable=1","https://www.x-kom.pl/g-5/c/14-plyty-glowne.html?page=2&hide_unavailable=1","","https://www.x-kom.pl/p/1070737-plyta-glowna-socket-1700-asus-tuf-gaming-z790-plus-wifi.html","ASUS TUF GAMING Z790-PLUS WIFI","1 399,00 zł","Intel Core i9,","ATX","Socket 1700","Intel Z790","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_29_14_8_59_512_01.jpg"
