web-scraper-order,web-scraper-start-url,link,link-href,name,price,power,standard,certificate,type,image-src
"1698053808-1","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/222657-zasilacz-do-komputera-thermaltake-smart-se-730w-80-plus-bronze.html","Thermaltake Smart SE 730W 80 Plus Bronze","429,00 zł","730 W","ATX","87% przy 230V oraz 20-100% obciążeniu.","Niecertyfikowany","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_27_15_21_26_308_00.jpg"
"1698053815-2","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/308056-zasilacz-do-komputera-chieftec-eco-500w.html","Chieftec ECO 500W","249,00 zł","500 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","Niecertyfikowany","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,pr_2016_5_23_17_40_21_899.jpg"
"1698053823-3","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/325335-zasilacz-do-komputera-modecom-volcano-650w-80-plus-bronze.html","MODECOM Volcano 650W 80 Plus Bronze","299,00 zł","650 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_12_30_57_236_00.jpg"
"1698053828-4","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/390939-zasilacz-do-komputera-chieftec-proton-750w-80-plus-bronze.html","Chieftec Proton 750W 80 Plus Bronze","479,00 zł","750 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/10/pr_2017_10_31_13_44_5_582_00.jpg"
"1698053833-5","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/401216-zasilacz-do-komputera-silverstone-sfx-450w-80-plus-bronze.html","SilverStone SFX 450W 80 Plus Bronze","319,00 zł","450 W","SFX","85-88% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_15_24_4_125_00.jpg"
"1698053838-6","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/401734-zasilacz-do-komputera-silverstone-strider-essential-700w-80-plus.html","SilverStone Strider Essential 700W 80 Plus","309,00 zł","700 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_15_23_10_149_00.jpg"
"1698053843-7","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/401783-zasilacz-do-komputera-silverstone-form-factor-sfx-300w-80-plus-bronze.html","SilverStone Form Factor SFX 300W 80 Plus Bronze","259,00 zł","300 W","SFX","84-87% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_15_21_54_19_00.jpg"
"1698053848-8","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/402040-zasilacz-do-komputera-thermaltake-smart-se-730w.html","Thermaltake Smart SE 730W","419,00 zł","730 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","Niecertyfikowany","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_27_15_18_10_260_00.jpg"
"1698053853-9","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/402073-zasilacz-do-komputera-thermaltake-toughpower-550w-80-plus-gold.html","Thermaltake Toughpower 550W 80 Plus Gold","399,00 zł","550 W","ATX","87-92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_27_14_41_59_757_00.jpg"
"1698053861-10","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/402145-zasilacz-do-komputera-thermaltake-toughpower-grand-rgb-750w-80-plus-gold.html","Thermaltake Toughpower Grand RGB 750W 80 Plus Gold","549,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_27_9_17_48_81_03.jpg"
"1698053866-11","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/402373-zasilacz-do-komputera-thermaltake-toughpower-riing-1050w-80-plus-platinum.html","Thermaltake Toughpower Riing 1050W 80 Plus Platinum","1 199,00 zł","1050 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_27_14_59_2_871_00.jpg"
"1698053873-12","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/403839-zasilacz-do-komputera-thermaltake-smart-pro-rgb-850w-80-plus-bronze.html","Thermaltake Smart Pro RGB 850W 80 Plus Bronze","549,00 zł","850 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_27_13_58_42_269_00.jpg"
"1698053878-13","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/404267-zasilacz-do-komputera-thermaltake-smart-pro-rgb-750w-80-plus-bronze.html","Thermaltake Smart Pro RGB 750W 80 Plus Bronze","499,00 zł","750 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_6_11_44_24_412_00.jpg"
"1698053887-14","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/406260-zasilacz-do-komputera-silverstone-strider-1200w-80-plus-platinum.html","SilverStone Strider 1200W 80 Plus Platinum","1 499,00 zł","1200 W","ATX","89-92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_7_40_27_461_00.jpg"
"1698053892-15","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/406283-zasilacz-do-komputera-silverstone-strider-500w-80-plus.html","SilverStone Strider 500W 80 Plus","209,00 zł","500 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/2/pr_2018_2_1_8_15_17_899_01.jpg"
"1698053901-16","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/406310-zasilacz-do-komputera-silverstone-strider-850w-80-plus-platinum.html","SilverStone Strider 850W 80 Plus Platinum","799,00 zł","850 W","ATX","91-93% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_7_37_57_828_00.jpg"
"1698053907-17","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/459590-zasilacz-do-komputera-be-quiet-pure-power-11-400w-80-plus-gold.html","be quiet! Pure Power 11 400W 80 Plus Gold","279,00 zł","400 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_9_14_7_41_225_00.jpg"
"1698053912-18","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/473000-zasilacz-do-komputera-thermaltake-bx1-rgb-550w-80-plus-bronze.html","Thermaltake BX1 RGB 550W 80 Plus Bronze","269,00 zł","550 W","ATX","80 PLUS Bronze","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_9_14_42_55_219_00.jpg"
"1698053917-19","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/509595-zasilacz-do-komputera-be-quiet-sfx-l-power-600w-80-plus-gold.html","be quiet! SFX-L POWER 600W 80 Plus Gold","589,00 zł","600 W","SFX-L","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_9_14_30_40_29_00.jpg"
"1698053922-20","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/513619-zasilacz-do-komputera-super-flower-leadex-8-pack-edition-2000w-80-plus-platinum.html","Super Flower Leadex 8 Pack Edition 2000W 80 Plus Platinum","2 599,00 zł","2000 W","ATX","90-94% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/9/pr_2019_9_4_11_48_21_661_03.jpg"
"1698053928-21","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/514786-zasilacz-do-komputera-seasonic-focus-px-650w-80-plus-platinum.html","Seasonic Focus PX 650W 80 Plus Platinum","649,00 zł","650 W","ATX","92-94% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_14_53_52_506_00.jpg"
"1698053935-22","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/516625-zasilacz-do-komputera-phanteks-amp-550w-80-plus-gold.html","Phanteks AMP 550W 80 Plus Gold","419,00 zł","550 W","ATX","89-92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/9/pr_2019_9_17_12_28_22_199_00.jpg"
"1698053943-23","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/519973-zasilacz-do-komputera-thermaltake-smart-se2-700w.html","Thermaltake Smart SE2 700W","319,00 zł","700 W","ATX","87% przy 230V oraz 20-100% obciążeniu.","Pół modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_9_14_32_4_422_00.jpg"
"1698053951-24","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/524445-zasilacz-do-komputera-xpg-core-reactor-650w-80-plus-gold.html","XPG Core Reactor 650W 80 Plus Gold","529,00 zł","650 W","ATX","88% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_31_10_31_21_143_05.jpg"
"1698053957-25","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/526182-zasilacz-do-komputera-seasonic-prime-tx-850w-80-plus-titanium.html","Seasonic Prime TX 850W 80 Plus Titanium","1 199,00 zł","850 W","ATX","94-96% przy 230V oraz 20-100% obciążeniu.","80 PLUS Titanium","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/11/pr_2019_11_14_13_56_41_892_00.jpg"
"1698053962-26","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/581648-zasilacz-do-komputera-kolink-kl-1000m-1000w-80-plus-bronze.html","Kolink KL-1000M 1000W 80 Plu` Bronze","399,00 zł","1000 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_28_12_30_4_184_00.jpg"
"1698053967-27","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/592519-zasilacz-do-komputera-chieftec-iarena-series-350w.html","Chieftec iArena Series 350W","169,00 zł","350 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/9/pr_2020_9_23_10_23_29_631_03.jpg"
"1698053972-28","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/592586-zasilacz-do-komputera-chieftec-proton-850w-80-plus-bronze.html","Chieftec Proton 850W 80 Plus Bronze","599,00 zł","850 W","ATX","85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_14_10_26_926_00.jpg"
"1698053977-29","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/595189-zasilacz-do-komputera-asus-rog-strix-850w-80-plus-gold.html","ASUS ROG Strix 850W 80 Plus Gold","799,00 zł","850 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_6_11_28_3_165_00.jpg"
"1698053985-30","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/598102-zasilacz-do-komputera-xpg-pylon-550w-80-plus-bronze.html","XPG Pylon 550W 80 Plus Bronze","249,00 zł","550 W","ATX","82-85% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/10/pr_2020_10_19_17_3_33_520_00.jpg"
"1698053992-31","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/626743-zasilacz-do-komputera-thermaltake-smart-bx1-450w-80-plus-bronze.html","Thermaltake Smart BX1 450W 80 Plus Bronze","229,00 zł","450 W","ATX","85-88% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_15_10_5_25_296_00.jpg"
"1698053997-32","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/627170-zasilacz-do-komputera-seasonic-connect-750fa-750w-80-plus-gold.html","Seasonic Connect 750FA 750W 80 Plus Gold","749,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_13_8_23_38_864_01.jpg"
"1698054002-33","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/627425-zasilacz-do-komputera-thermaltake-toughpower-gf1-750w-80-plus-gold.html","Thermaltake Toughpower GF1 750W 80 Plus Gold","549,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_13_7_34_44_435_04.jpg"
"1698054008-34","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/627428-zasilacz-do-komputera-thermaltake-toughpower-grand-rgb-750w-80-plus-gold.html","Thermaltake Toughpower Grand RGB 750W 80 Plus Gold","549,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_13_7_50_0_244_03.jpg"
"1698054014-35","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/627472-zasilacz-do-komputera-seasonic-focus-gx-1000w-80-plus-gold.html","Seasonic Focus GX 1000W 80 Plus Gold","899,00 zł","1000 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/2/pr_2021_2_13_8_10_28_832_02.jpg"
"1698054019-36","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/642012-zasilacz-do-komputera-aerocool-lux-rgb-650w-80-plus-bronze.html","AeroCool Lux RGB 650W 80 Plus Bronze","285,00 zł","650 W","ATX","80-88% przy 230V oraz 20-100% obciążeniu.","80 PLUS Bronze","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_29_14_8_17_789_04.jpg"
"1698054026-37","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/642015-zasilacz-do-komputera-aerocool-pgs-vx-550w-80-plus.html","AeroCool PGS VX 550W 80 Plus","199,00 zł","550 W","ATX","79-81% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_25_13_43_29_896_06.jpg"
"1698054031-38","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/642110-zasilacz-do-komputera-seasonic-prime-fanless-px-500w-80-plus-platinum.html","Seasonic Prime Fanless PX 500W 80 Plus Platinum","849,00 zł","500 W","ATX","90-94% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_2_9_15_38_516_00.jpg"
"1698054038-39","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/642412-zasilacz-do-komputera-kolink-continuum-1050w-80-plus-platinum.html","Kolink Continuum 1050W 80 Plus Platinum","899,00 zł","1050 W","ATX","89-92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_31_13_27_42_522_00.jpg"
"1698054043-40","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/642522-zasilacz-do-komputera-silverstone-sx-1000w-80-plus-platinum.html","SilverStone SX 1000W 80 Plus Platinum","1 399,00 zł","1000 W","SFX-L","89-92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_14_58_41_742_00.jpg"
"1698054069-44","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/647166-zasilacz-do-komputera-azza-psaz-550w-80-plus-bronze.html","Azza PSAZ 550W 80 Plus Bronze","209,00 zł","550 W","ATX","80 PLUS Bronze","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_19_17_3_29_567_00.jpg"
"1698054075-45","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/647173-zasilacz-do-komputera-azza-psaz-750w-80-plus-gold.html","Azza PSAZ 750W 80 Plus Gold","449,00 zł","750 W","ATX","80 PLUS Gold","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_26_12_28_23_565_02.jpg"
"1698054081-46","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/647174-zasilacz-do-komputera-azza-psaz-850w-80-plus-gold.html","Azza PSAZ 850W 80 Plus Gold","499,00 zł","850 W","ATX","80 PLUS Gold","Modularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_26_12_58_52_810_03.jpg"
"1698054087-47","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/647708-zasilacz-do-komputera-be-quiet-tfx-power-3-300w-80-plus-bronze.html","be quiet! TFX Power 3 300W 80 Plus Bronze","269,00 zł","300 W","TFX","80 PLUS Bronze","Niemodularny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_6_11_55_52_192_00.jpg"
"1698054093-48","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/648149-zasilacz-do-komputera-kolink-core-rgb-600w-80-plus.html","Kolink Core RGB 600W  80 PLUS","219,00 zł","600 W","ATX","80% przy 230V oraz 20-100% obciążeniu.","80 PLUS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/5/pr_2021_5_10_16_45_20_227_00.jpg"
"1698054103-49","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/648214-zasilacz-do-komputera-silverstone-da750-750w-80-plus-gold.html","SilverStone DA750 750W 80 Plus Gold","649,00 zł","750 W","ATX","87-90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/8/pr_2021_8_30_15_16_0_22_00.jpg"
"1698054114-50","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/651956-zasilacz-do-komputera-lc-power-lc420h-420w.html","LC POWER LC420H 420W","139,00 zł","420 W","ATX","120 mm","Pasywny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/5/pr_2021_5_6_13_9_57_173_00.jpg"
"1698054119-51","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/651963-zasilacz-do-komputera-lc-power-lc500h-500w.html","LC POWER LC500H 500W","179,00 zł","500 W","ATX","120 mm","Aktywny","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/5/pr_2021_5_6_14_13_46_178_00.jpg"
"1698054126-52","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/652291-zasilacz-do-komputera-fsp-fortron-hydro-pro-850w-80-plus-platinum.html","FSP/Fortron Hydro PRO 850W 80 Plus Platinum","719,00 zł","850 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_4_8_55_1_487_00.jpg"
"1698054133-53","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/655299-zasilacz-do-komputera-thermaltake-toughpower-gf1-argb-750w-80-plus-gold.html","Thermaltake Toughpower GF1 ARGB 750W 80 Plus Gold","699,00 zł","750 W","ATX","90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_1_11_6_22_53_04.jpg"
"1698054141-54","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/655303-zasilacz-do-komputera-thermaltake-toughpower-pf1-750w-80-plus-platinum.html","Thermaltake Toughpower PF1 750W 80 Plus Platinum","699,00 zł","750 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_1_10_43_37_604_04.jpg"
"1698054147-55","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/655310-zasilacz-do-komputera-thermaltake-toughpower-pf1-850w-80-plus-platinum.html","Thermaltake Toughpower PF1 850W 80 Plus Platinum","799,00 zł","850 W","ATX","92% przy 230V oraz 20-100% obciążeniu.","80 PLUS Platinum","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/9/pr_2021_9_1_11_22_15_854_00.jpg"
"1698054153-56","https://www.x-kom.pl/g-5/c/2493-zasilacze-komputerowe.html?hide_unavailable=1","","https://www.x-kom.pl/p/665887-zasilacz-do-komputera-sharkoon-silentstorm-coolzero-750w-80-plus-gold.html","Sharkoon SilentStorm CoolZero 750W 80 Plus Gold","499,00 zł","750 W","ATX","87-90% przy 230V oraz 20-100% obciążeniu.","80 PLUS Gold","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_2_7_17_23_619_00.jpg"
