web-scraper-order,web-scraper-start-url,procesor,procesor-href,Nazwa,Socket,Image-src,Frequency,Cache,Cores,Cena
"1697884083-1","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/539162-procesor-intel-core-i9-intel-core-i9-10900x.html","Intel Core i9-10900X","Socket 2066","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/12/pr_2018_12_18_13_50_31_406_00.jpg","3.7 GHz","19,25 MB","10 rdzeni","3 499,00 zł"
"1697884086-2","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/563451-procesor-intel-core-i9-intel-core-i9-10940x.html","Intel Core i9-10940X","Socket 2066","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_4_9_32_22_881_00.jpg","3.3 GHz","19,25 MB","14 rdzeni","4 499,00 zł"
"1697884090-3","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/564433-procesor-intel-core-i9-intel-core-i9-10900k.html","Intel Core i9-10900K","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_6_14_49_13_604_01.jpg","3.7 GHz","20 MB","10 rdzeni","1 849,00 zł"
"1697884093-4","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/626767-procesor-intel-core-i9-intel-core-i9-11900.html","Intel Core i9-11900","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_10_44_13_191_00.jpg","2.5 GHz","16 MB","8 rdzeni","1 999,00 zł"
"1697884096-5","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/636133-procesor-intel-pentium-intel-pentium-g6405.html","Intel Pentium G6405","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_14_32_48_852_00.jpg","4.1 GHz","4 MB","2 rdzenie","329,00 zł"
"1697884099-6","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702230-procesory-intel-core-i5-intel-core-i5-12600.html","Intel Core i5-12600","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_30_34_58_00.jpg","3.3 GHz","18 MB","6 rdzeni","1 369,00 zł"
"1697884103-7","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702246-procesor-intel-pentium-intel-pentium-g7400.html","Intel Pentium G7400","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/1/pr_2022_1_4_14_54_34_915_00.jpg","3.7 GHz","6 MB","2 rdzenie","449,00 zł"
"1697884106-8","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1065198-procesor-amd-threadripper-amd-ryzen-threadripper-pro-5995wx.html","AMD Ryzen Threadripper PRO 5995WX","Socket sWRX8","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_18_13_35_58_215_01.jpg","2.7 GHz","288 MB","64 rdzenie","27 999,00 zł"
"1697884109-9","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1084961-procesor-amd-threadripper-amd-ryzen-threadripper-pro-5955wx.html","AMD Ryzen Threadripper PRO 5955WX","Socket sWRX8","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_18_13_35_58_215_01.jpg","4.0 GHz","72 MB","16 rdzeni","5 299,00 zł"
"1697884112-10","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/500096-procesor-amd-ryzen-5-amd-ryzen-5-3400g.html","AMD Ryzen 5 3400G","Socket AM4","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_19_9_59_52_625_00.jpg","3.7 GHz","6 MB","4 rdzenie","709,00 zł"
"1697884115-11","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/533442-procesor-intel-core-i9-intel-core-i9-10920x.html","Intel Core i9-10920X","Socket 2066","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/12/pr_2018_12_18_13_57_48_108_00.jpg","3.5 GHz","19,25 MB","12 rdzeni","3 999,00 zł"
"1697884118-12","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702219-procesor-intel-core-i9-intel-core-i9-12900.html","Intel Core i9-12900","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_45_10_282_00.jpg","2.4 GHz","30 MB","16 rdzeni","2 219,00 zł"
"1697884121-13","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702233-procesory-intel-core-i5-intel-core-i5-12500.html","Intel Core i5-12500","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_30_34_58_00.jpg","3.0 GHz","18 MB","6 rdzeni","1 199,00 zł"
"1697884125-14","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1065210-procesor-amd-threadripper-amd-ryzen-threadripper-pro-5975wx.html","AMD Ryzen Threadripper PRO 5975WX","Socket sWRX8","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_18_13_35_58_215_01.jpg","3.6 GHz","144 MB","32 rdzenie","13 999,00 zł"
"1697884128-15","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1065211-procesor-amd-threadripper-amd-ryzen-threadripper-pro-5965wx.html","AMD Ryzen Threadripper PRO 5965WX","Socket sWRX8","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_18_13_35_58_215_01.jpg","3.8 GHz","140 MB","24 rdzenie","9 999,00 zł"
"1697884132-16","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/626733-procesory-intel-core-i5-intel-core-i5-11600.html","Intel Core i5-11600","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/3/pr_2021_3_15_9_54_57_565_00.jpg","2.8 GHz","12 MB","6 rdzeni","1 249,00 zł"
"1697884136-17","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/628047-procesor-intel-celeron-intel-celeron-g5905.html","Intel Celeron G5905","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/10/pr_2021_10_7_13_39_45_13_00.jpg","3.5 GHz","4 MB","2 rdzenie","739,00 zł"
"1697884139-18","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/702223-procesor-intel-core-i9-intel-core-i9-12900f.html","Intel Core i9-12900F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/12/pr_2021_12_23_9_45_59_587_00.jpg","2.4 GHz","30 MB","16 rdzeni","2 199,00 zł"
"1697884143-19","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1100878-procesor-intel-core-i3-intel-core-i3-13100f.html","Intel Core i3-13100F","Socket 1700","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_2_9_7_5_298_02.jpg","3.4 GHz","12 MB","4 rdzenie","529,00 zł"
"1697884147-20","https://www.x-kom.pl/g-5/c/11-procesory.html?hide_unavailable=1","","https://www.x-kom.pl/p/564455-procesory-intel-core-i5-intel-core-i5-10600k.html","Intel Core i5-10600K","Socket 1200","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/5/pr_2020_5_6_15_39_37_609_00.jpg","4.1 GHz","12 MB","6 rdzeni","899,00 zł"
