web-scraper-order,web-scraper-start-url,link,link-href,name,price,capacity,interface,readspeed,writespeed,image-src
"1698419151-2","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/350713-dysk-ssd-transcend-240gb-25-sata-ssd-220s.html","Transcend 240GB 2,5"" SATA SSD 220S","129,00 zł","240 GB","2,5"" SATA","500 MB/s","330 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_27_11_22_26_621.jpg"
"1698419153-3","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/352716-dysk-ssd-transcend-128gb-25-sata-ssd-230s.html","Transcend 128GB 2,5"" SATA SSD 230S","98,99 zł","128 GB","2,5"" SATA","560 MB/s","380 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_2_18_39_4_850_02.jpg"
"1698419157-4","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/371102-dysk-ssd-transcend-512gb-25-sata-ssd-230s.html","Transcend 512GB 2,5"" SATA SSD 230S","179,00 zł","512 GB","2,5"" SATA","560 MB/s","500 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_2_18_39_4_850_02.jpg"
"1698419160-5","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/422980-dysk-ssd-transcend-128gb-m2-sata-2242-ssd-400s.html","Transcend 128GB M.2 SATA 2242 SSD 400S","299,00 zł","128 GB","M.2 SATA","530 MB/s","200 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_22_14_20_58_804_00.jpg"
"1698419164-6","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/442512-dysk-ssd-samsung-512gb-m2-pcie-nvme-970-pro.html","Samsung 512GB M.2 PCIe NVMe 970 PRO","899,00 zł","512 GB","PCIe NVMe 3.0 x4","3500 MB/s","2300 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/8/pr_2018_8_3_9_58_44_740_00.jpg"
"1698419168-7","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/461047-dysk-ssd-adata-1tb-m2-pcie-nvme-xpg-sx6000-pro.html","ADATA 1TB M.2 PCIe NVMe XPG SX6000 Pro","259,00 zł","1000 GB","PCIe NVMe 3.0 x4","2100 MB/s","1400 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/5/pr_2019_5_14_7_55_58_423_02.jpg"
"1698419171-8","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/465078-dysk-ssd-corsair-192tb-m2-pcie-nvme-force-mp510.html","Corsair 1,92TB M.2 PCIe NVMe Force MP510","569,00 zł","1920 GB","PCIe NVMe 3.0 x4","3480 MB/s","2700 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/11/pr_2018_11_29_14_54_41_367_00.jpg"
"1698419174-9","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/471971-dysk-ssd-adata-256gb-m2-pcie-nvme-xpg-sx6000-lite.html","ADATA 256GB M.2 PCIe NVMe XPG SX6000 Lite","109,00 zł","256 GB","PCIe NVMe 3.0 x4","1800 MB/s","900 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/11/pr_2018_11_9_9_33_50_536_00.jpg"
"1698419179-10","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/474478-dysk-ssd-adata-480gb-25-sata-ssd-ultimate-su630.html","ADATA 480GB 2,5"" SATA SSD Ultimate SU630","139,00 zł","480 GB","2,5"" SATA","520 MB/s","450 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/1/pr_2019_1_21_12_45_52_995_02.jpg"
"1698419182-11","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/474618-dysk-ssd-team-group-256gb-m2-sata-ssd-ms30.html","Team Group 256GB M.2 SATA SSD MS30","85,99 zł","256 GB","M.2 SATA","550 MB/s","470 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/1/pr_2019_1_25_9_23_7_605_00.jpg"
"1698419185-12","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/486813-dysk-ssd-transcend-512gb-m2-pcie-nvme-220s.html","Transcend 512GB M.2 PCIe NVMe 220S","189,00 zł","512 GB","PCIe NVMe 3.0 x4","3300 MB/s","2100 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/3/pr_2019_3_21_13_42_18_213_00.jpg"
"1698419188-13","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/486815-dysk-ssd-transcend-1tb-m2-pcie-nvme-220s.html","Transcend 1TB M.2 PCIe NVMe 220S","589,00 zł","1024 GB","PCIe NVMe 3.0 x4","3400 MB/s","1900 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/3/pr_2019_3_21_13_41_57_164_00.jpg"
"1698419191-14","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/498170-dysk-ssd-kingston-480gb-25-sata-ssd-dc500m.html","Kingston 480GB 2,5"" SATA SSD DC500M","439,00 zł","480 GB","2,5"" SATA","555 MB/s","520 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/5/pr_2019_5_24_10_40_15_562_02.jpg"
"1698419196-15","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/504679-dysk-ssd-gigabyte-1tb-m2-pcie-gen4-nvme-aorus.html","Gigabyte 1TB M.2 PCIe Gen4 NVMe AORUS","809,00 zł","1000 GB","PCIe NVMe 4.0 x4","5000 MB/s","4400 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_8_14_34_41_864_00.jpg"
"1698419199-16","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/508126-dysk-ssd-silicon-power-512gb-m2-pcie-nvme-a80.html","Silicon Power 512GB M.2 PCIe NVMe A80","189,00 zł","512 GB","PCIe NVMe 3.0 x4","3400 MB/s","2300 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/7/pr_2019_7_30_11_47_58_742_00.jpg"
"1698419202-17","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/514407-dysk-ssd-team-group-240gb-25-sata-ssd-gx1.html","Team Group 240GB 2,5"" SATA SSD GX1","84,99 zł","240 GB","2,5"" SATA","500 MB/s","400 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_5_13_9_24_727_01.jpg"
"1698419209-18","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/514435-dysk-ssd-team-group-512gb-25-sata-ssd-gx2.html","Team Group 512GB 2,5"" SATA SSD GX2","139,00 zł","512 GB","2,5"" SATA","530 MB/s","430 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/8/pr_2022_8_5_13_7_1_171_01.jpg"
"1698419213-19","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/517457-dysk-ssd-silicon-power-2tb-m2-pcie-nvme-a80.html","Silicon Power 2TB M.2 PCIe NVMe A80","579,00 zł","2000 GB","PCIe NVMe 3.0 x4","3400 MB/s","3000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/9/pr_2019_9_19_13_15_14_587_00.jpg"
"1698419219-20","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/523978-dysk-ssd-silicon-power-512gb-m2-pcie-nvme-a60.html","Silicon Power 512GB M.2 PCIe NVMe A60","169,00 zł","512 GB","PCIe NVMe 3.0 x4","2200 MB/s","1600 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_24_12_54_26_311_00.jpg"
"1698419222-21","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/524069-dysk-ssd-kingston-480gb-25-sata-ssd-dc450r.html","Kingston 480GB 2,5"" SATA SSD DC450R","349,00 zł","480 GB","2,5"" SATA","560 MB/s","510 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_29_10_40_9_503_01.jpg"
"1698419226-22","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/524073-dysk-ssd-kingston-192tb-25-sata-ssd-dc450r.html","Kingston 1,92TB 2,5"" SATA SSD DC450R","739,00 zł","1920 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/10/pr_2019_10_29_10_40_9_503_01.jpg"
"1698419231-23","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/558042-dysk-ssd-silicon-power-960gb-25-sata-ssd-s55.html","Silicon Power 960GB 2,5"" SATA SSD S55","259,00 zł","960 GB","2,5"" SATA","560 MB/s","530 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/4/pr_2020_4_9_9_21_52_947_00.jpg"
"1698419236-24","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/573533-dysk-ssd-corsair-480gb-m2-pcie-nvme-force-mp510.html","Corsair 480GB M.2 PCIe NVMe Force MP510","259,00 zł","480 GB","PCIe NVMe 3.0 x4","3480 MB/s","2000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/6/pr_2020_6_22_10_28_3_963_00.jpg"
"1698419241-25","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/573534-dysk-ssd-corsair-960gb-m2-pcie-nvme-force-mp510.html","Corsair 960GB M.2 PCIe NVMe Force MP510","349,00 zł","960 GB","PCIe NVMe 3.0 x4","3480 MB/s","3000 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/6/pr_2020_6_22_10_28_3_963_00.jpg"
"1698419244-26","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/575329-dysk-ssd-patriot-128gb-25-sata-ssd-p210.html","Patriot 128GB 2,5"" SATA SSD P210","64,99 zł","128 GB","2,5"" SATA","450 MB/s","430 MB/s","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/6/pr_2020_6_25_13_37_54_404_00.jpg"
"1698419247-27","https://www.x-kom.pl/g-5/c/1779-dyski-ssd.html?hide_unavailable=1","","https://www.x-kom.pl/p/580518-dysk-ssd-crucial-250gb-m2-pcie-nvme-p5.html","Crucial 250GB M.2 PCIe NVMe P5","129,00 zł","250 GB","3400 MB/s","1400 MB/s","TLC","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/7/pr_2020_7_22_14_7_38_800_00.jpg"
